
|PKG_NAME                      |MODEL_NAME                                        |SCHEMA_NAME         |TABLE_NAME                              |
|wip-slowmove                  |CA_MAX_BUDAT                                      |SAPABAP1            |T156T                                   |
|wip-slowmove                  |CA_MAX_BUDAT                                      |SAPABAP1            |ZMM_DDTP                                |
|wip-slowmove                  |CA_MAX_BUDAT_PERIOD                               |SAPABAP1            |MKPF                                    |
|wip-slowmove                  |CA_MAX_BUDAT_PERIOD                               |SAPABAP1            |MSEG                                    |
|wip-slowmove                  |CA_MAX_BUDAT_PERIOD                               |SAPABAP1            |T156T                                   |
|wip-slowmove                  |CA_MAX_BUDAT_PERIOD                               |SAPABAP1            |ZMM_DDTP                                |
|wip-slowmove                  |CA_MAX_BUDAT_PERIOD_NO_FILTER                     |SAPABAP1            |MKPF                                    |
|wip-slowmove                  |CA_MAX_BUDAT_PERIOD_NO_FILTER                     |SAPABAP1            |MSEG                                    |
|wip-slowmove                  |CA_MAX_BUDAT_PERIOD_NO_FILTER                     |SAPABAP1            |T156T                                   |
|wip-slowmove                  |CA_MAX_BUDAT_PERIOD_TEST                          |SAPABAP1            |MKPF                                    |
|wip-slowmove                  |CA_MAX_BUDAT_PERIOD_TEST                          |SAPABAP1            |MSEG                                    |
|wip-slowmove                  |CA_MAX_BUDAT_PERIOD_TEST                          |SAPABAP1            |T156T                                   |
|wip-slowmove                  |CA_MAX_BUDAT_PERIOD_TEST                          |SAPABAP1            |ZMM_DDTP                                |
|wip-slowmove                  |CA_MB5B                                           |SAPABAP1            |MARD                                    |
|wip-slowmove                  |CA_MB5B                                           |SAPABAP1            |MKPF                                    |
|wip-slowmove                  |CA_MB5B                                           |SAPABAP1            |MSEG                                    |
|wip-slowmove                  |CA_MB5B                                           |SAPABAP1            |ZMM_ODGP                                |
|wip-slowmove                  |CA_MB5B_BACKUP                                    |SAPABAP1            |MARD                                    |
|wip-slowmove                  |CA_MB5B_BACKUP                                    |SAPABAP1            |MKPF                                    |
|wip-slowmove                  |CA_MB5B_BACKUP                                    |SAPABAP1            |MSEG                                    |
|wip-slowmove                  |CA_MB5B_BACKUP2                                   |SAPABAP1            |MARD                                    |
|wip-slowmove                  |CA_MB5B_BACKUP2                                   |SAPABAP1            |MKPF                                    |
|wip-slowmove                  |CA_MB5B_BACKUP2                                   |SAPABAP1            |MSEG                                    |
